date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:25:45	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22663be566-239b%22	https://eigo-sugiyama.github.io/robots.txt		(from )
21:25:45	25907/25907	---M-Z	200	added ('OK')	text/html	etag:W/%22665d1741-6533%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/index.html	(from )
21:25:45	4400/4400	---M--	200	added ('OK')	image/png	etag:%22665d1741-1130%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/logo.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/logo.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:46	24924/24924	---M-Z	200	added ('OK')	text/css	etag:W/%22665d1741-615c%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/style.css	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/style.css	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:46	25907/25907	---M-Z	200	added ('OK')	text/html	etag:W/%22665d1741-6533%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/index.html	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/index-2.html	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:46	9058/9058	---M-Z	200	added ('OK')	text/html	etag:W/%22665d1741-2362%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/mission.html	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/mission.html	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:46	8688/8688	---M-Z	200	added ('OK')	text/html	etag:W/%22665d1741-21f0%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/product.html	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/product.html	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:47	948/948	---M--	200	added ('OK')	image/png	etag:%22665d1741-3b4%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/button-menu.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/button-menu.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:47	345/345	---M--	200	added ('OK')	image/png	etag:%22665d1741-159%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/button-close.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/button-close.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:47	3263/3263	---M--	200	added ('OK')	image/png	etag:%22665d1741-cbf%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/logo-sp.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/logo-sp.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:47	414/414	---M--	200	added ('OK')	image/png	etag:%22665d1741-19e%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/button-facebook.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/button-facebook.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:47	379/379	---M--	200	added ('OK')	image/png	etag:%22665d1741-17b%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/button-twitter.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/button-twitter.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:48	291/291	---M--	200	added ('OK')	image/png	etag:%22665d1741-123%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/button-youtube.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/button-youtube.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:48	994454/994454	---M--	200	added ('OK')	image/png	etag:%22665d1741-f2c96%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-main.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-main.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:48	409476/409476	---M--	200	added ('OK')	image/png	etag:%22665d1741-63f84%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-mission.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-mission.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:49	23122/23122	---M--	200	added ('OK')	image/png	etag:%22665d1741-5a52%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index/s2dgs.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/s2dgs.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:49	2741/2741	---M--	200	added ('OK')	image/png	etag:%22665d1741-ab5%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/button-more.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/button-more.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:49	355743/355743	---M--	200	added ('OK')	image/png	etag:%22665d1741-56d9f%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-mantoman.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-mantoman.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:49	405407/405407	---M--	200	added ('OK')	image/png	etag:%22665d1741-62f9f%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-career.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-career.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:50	247480/247480	---M--	200	added ('OK')	image/png	etag:%22665d1741-3c6b8%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-media.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-media.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:50	510037/510037	---M--	200	added ('OK')	image/png	etag:%22665d1741-7c855%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-b2b.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-b2b.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:50	504038/504038	---M--	200	added ('OK')	image/png	etag:%22665d1741-7b0e6%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-aboutus1.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-aboutus1.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:50	705224/705224	---M--	200	added ('OK')	image/png	etag:%22665d1741-ac2c8%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-aboutus2.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/index-aboutus2.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
21:25:50	4050/4050	---M--	200	added ('OK')	image/png	etag:%22665d1741-fd2%22	https://eigo-sugiyama.github.io/samurai_GitHubPages/images/index/vision-01.png	path/to/destination/eigo-sugiyama.github.io/samurai_GitHubPages/images/index/vision-01.png	(from https://eigo-sugiyama.github.io/samurai_GitHubPages/)
